NAME_2,NAME_3,lat,long,elevation,ndvi,slope,landcover_class
Tabalong,haruai,-2.0247,115.5289,62.298,0.533,0.62,8
Tanah Laut,batuampar,-3.8373,114.9217,148.715,0.528,3.067,8
Tanah Laut,kintap,-3.7682,115.2176,75.082,0.623,1.358,8
Tanah Laut,pelaihari,-3.7854,114.7486,31.446,0.407,0.787,8
Tanah Laut,takisung,-3.8571,114.6468,9.184,0.452,0.218,8
Tapin,binuang,-3.1214,115.067,26.831,0.346,0.451,8
Tuban,kerek,-6.8885,111.8543,117.788,0.543,1.559,8
Wajo,tempe,-4.135,120.0434,22.414,0.509,0.631,8
Wonogiri,paranggupito,-8.1701,110.8642,206.104,0.488,2.142,8
Aceh Besar,mesjidraya,5.5863,95.5183,114.915,0.689,3.831,8
Badung,mengwi,-8.5633,115.1703,126.507,0.692,0.702,8
Balangan,awayan,-2.4057,115.5538,55.89,0.68,0.606,8
Bengkayang,ledo,1.0062,109.5898,80.65,0.672,1.633,8
Bengkayang,sanggauledo,1.1441,109.6154,27.684,0.655,0.298,8
